stage,roi,condition,trial_index,amp_uV,peak_latency_ms
After ICA,Frontal ROI,familiar,0,8.732981158176772,413.0
After ICA,Frontal ROI,familiar,1,-2.9286263547796656,455.0
After ICA,Frontal ROI,familiar,2,6.073854566639154,395.0
After ICA,Frontal ROI,familiar,3,5.820295266534235,433.0
After ICA,Frontal ROI,familiar,4,5.262469536502394,437.0
After ICA,Frontal ROI,familiar,5,-5.554705131915831,499.0
After ICA,Frontal ROI,familiar,6,1.1127799592315162,468.0
After ICA,Frontal ROI,familiar,7,-9.206059939634418,500.0
After ICA,Frontal ROI,familiar,8,-6.899523032668368,429.0
After ICA,Frontal ROI,familiar,9,-3.706786916473892,360.0
After ICA,Frontal ROI,familiar,10,-1.660850125513641,439.0
After ICA,Frontal ROI,familiar,11,-6.140486755802465,491.0
After ICA,Frontal ROI,familiar,12,-0.1602557756611071,388.0
After ICA,Frontal ROI,familiar,13,0.1576682289697204,349.0
After ICA,Frontal ROI,familiar,14,-0.18102794602408154,312.0
After ICA,Frontal ROI,familiar,15,1.300260822721874,419.0
After ICA,Frontal ROI,familiar,16,-4.576505747521124,496.0
After ICA,Frontal ROI,familiar,17,-11.261659235730002,392.0
After ICA,Frontal ROI,familiar,18,-4.243826011199472,400.0
After ICA,Frontal ROI,familiar,19,-9.15149705871957,300.0
After ICA,Frontal ROI,familiar,20,-5.411524969324242,463.0
After ICA,Frontal ROI,familiar,21,-7.224921391329286,318.0
After ICA,Frontal ROI,familiar,22,9.023599553824186,411.0
After ICA,Frontal ROI,familiar,23,9.093465876807166,455.0
After ICA,Frontal ROI,familiar,24,9.037351658020505,329.0
After ICA,Frontal ROI,familiar,25,1.7182484801493165,328.0
After ICA,Frontal ROI,familiar,26,10.433703934867845,492.0
After ICA,Frontal ROI,familiar,27,1.9886153962653066,306.0
After ICA,Frontal ROI,familiar,28,-14.547265308042157,362.0
After ICA,Frontal ROI,familiar,29,-7.103752553551642,492.0
After ICA,Frontal ROI,familiar,30,2.0669263789524557,479.0
After ICA,Frontal ROI,familiar,31,-7.029538940559301,419.0
After ICA,Frontal ROI,familiar,32,-9.941620871678726,478.0
After ICA,Frontal ROI,familiar,33,-6.9558268596962565,499.0
After ICA,Frontal ROI,familiar,34,-3.442595851653029,500.0
After ICA,Frontal ROI,familiar,35,3.027555624701677,308.0
After ICA,Frontal ROI,familiar,36,-9.944830077595844,500.0
After ICA,Frontal ROI,familiar,37,-4.775375871873095,387.0
After ICA,Frontal ROI,familiar,38,4.096995754027909,452.0
After ICA,Frontal ROI,familiar,39,-1.8279706450063784,315.0
After ICA,Frontal ROI,familiar,40,-1.5292478503049973,469.0
After ICA,Frontal ROI,familiar,41,-5.046297943186856,331.0
After ICA,Frontal ROI,familiar,42,4.607291408761181,458.0
After ICA,Frontal ROI,familiar,43,0.5099034035123323,487.0
After ICA,Frontal ROI,familiar,44,4.587856567482146,492.0
After ICA,Frontal ROI,familiar,45,15.000138717101695,420.0
After ICA,Frontal ROI,familiar,46,2.2385913966661994,412.0
After ICA,Frontal ROI,familiar,47,-3.304240327974344,374.0
After ICA,Frontal ROI,familiar,48,-0.5670847476467218,358.0
After ICA,Frontal ROI,familiar,49,-9.252280888576003,460.0
After ICA,Frontal ROI,familiar,50,1.2935394448324857,370.0
After ICA,Frontal ROI,familiar,51,3.065041918354015,329.0
After ICA,Frontal ROI,familiar,52,-11.632881726797446,308.0
After ICA,Frontal ROI,familiar,53,-12.703394790012569,490.0
After ICA,Frontal ROI,familiar,54,0.57228296798163,338.0
After ICA,Frontal ROI,familiar,55,0.7106613841475584,304.0
After ICA,Frontal ROI,familiar,56,5.5359822769207305,443.0
After ICA,Frontal ROI,familiar,57,4.614269320864656,360.0
After ICA,Frontal ROI,familiar,58,-2.5720932876078235,467.0
After ICA,Frontal ROI,familiar,59,-1.779491701656163,433.0
After ICA,Frontal ROI,familiar,60,1.3425035593171937,445.0
After ICA,Frontal ROI,familiar,61,5.7442961283640175,495.0
After ICA,Frontal ROI,familiar,62,-0.8846718154360048,332.0
After ICA,Frontal ROI,familiar,63,1.225204553515601,399.0
After ICA,Frontal ROI,familiar,64,3.0253052257107726,475.0
After ICA,Frontal ROI,familiar,65,5.764673285817232,468.0
After ICA,Frontal ROI,familiar,66,-0.970972136548802,300.0
After ICA,Frontal ROI,familiar,67,4.237128740929433,357.0
After ICA,Frontal ROI,familiar,68,1.364757752703224,334.0
After ICA,Frontal ROI,familiar,69,1.715334531709536,474.0
After ICA,Frontal ROI,familiar,70,-5.9955674424926135,499.0
After ICA,Frontal ROI,familiar,71,1.2260255096307606,458.0
After ICA,Frontal ROI,familiar,72,2.2435118281422066,345.0
After ICA,Frontal ROI,familiar,73,4.19697631701899,491.0
After ICA,Frontal ROI,familiar,74,-0.050311087187192405,300.0
After ICA,Frontal ROI,familiar,75,-0.51622609855958,403.0
After ICA,Frontal ROI,familiar,76,-7.814850505017237,389.0
After ICA,Frontal ROI,familiar,77,3.4729761635017873,452.0
After ICA,Frontal ROI,familiar,78,1.7548035108251565,463.0
After ICA,Frontal ROI,familiar,79,-5.092766031299713,437.0
After ICA,Frontal ROI,familiar,80,0.9053701322045319,376.0
After ICA,Frontal ROI,familiar,81,3.9727939847770193,473.0
After ICA,Frontal ROI,familiar,82,1.9563873531998082,363.0
After ICA,Frontal ROI,familiar,83,4.818227140301904,300.0
After ICA,Frontal ROI,familiar,84,5.641671003145331,365.0
After ICA,Frontal ROI,familiar,85,2.3603030400295495,404.0
After ICA,Frontal ROI,familiar,86,3.9219689824256614,406.0
After ICA,Frontal ROI,familiar,87,-2.0129967442851373,465.0
After ICA,Frontal ROI,familiar,88,1.0844506077311287,336.0
After ICA,Frontal ROI,familiar,89,3.36760188239297,420.0
After ICA,Frontal ROI,familiar,90,-6.062840188352518,454.0
After ICA,Frontal ROI,familiar,91,4.098854357270706,494.0
After ICA,Frontal ROI,familiar,92,8.065519568149844,367.0
